HiLo floors
Double Punch;22.10.2019;09:23;29.11.2019;09:56;38;00:33;
94;1;20
2913;3;7.0;1.4
1;150.000;150.000;7716;2911;106.9;6.1;0.66
Index;Element;Markierung;Zeit;Kraft;Weg
;;;s;kN;mm
162;100;100;294.2100;90.89;0.766
163;100;100;294.3100;60.05;0.679
164;100;100;294.4100;35.47;0.587
165;100;100;294.5100;19.96;0.518
166;100;100;294.6100;10.12;0.464
167;100;510;294.6100;10.12;0.464
168;100;100;294.7100;3.77;0.419
169;100;100;294.8100;0.00;0.384
170;100;100;294.9100;-2.22;0.345

2;150.000;150.000;7728;2915;141.7;8.0;1.31
Index;Element;Markierung;Zeit;Kraft;Weg
;;;s;kN;mm
1;100;5000;0.0000;5.00;0.000
2;100;100;1.7100;5.47;0.004
3;100;100;4.4100;6.45;0.005
4;100;100;4.6100;6.52;0.009
5;100;100;7.4100;7.53;0.015
6;100;100;10.4100;8.54;0.021
7;100;100;10.7100;8.67;0.022
8;100;100;13.2100;9.56;0.028
9;100;100;16.1100;10.56;0.037
10;100;100;16.9100;10.83;0.040
11;100;100;19.1100;11.60;0.042
12;100;100;22.1100;12.65;0.048
13;100;100;23.1100;13.00;0.049
14;100;100;25.1100;13.68;0.058
15;100;100;28.0100;14.70;0.067
16;100;100;29.3100;15.16;0.069
17;100;100;30.9100;15.75;0.074
18;100;100;33.8100;16.76;0.081
19;100;100;35.5100;17.35;0.084
20;100;100;36.8100;17.80;0.086
21;100;100;39.7100;18.81;0.090
22;100;100;41.7100;19.48;0.094
23;100;100;42.6100;19.83;0.094
24;100;100;43.4100;20.11;0.097
25;100;100;45.5100;20.83;0.098
26;100;100;48.0100;21.71;0.104
27;100;100;48.4100;21.86;0.104
28;100;100;51.3100;22.86;0.108
29;100;100;54.2100;23.86;0.116
30;100;100;54.3100;23.90;0.115
31;100;100;57.1100;24.89;0.123
32;100;100;60.0100;25.93;0.128
33;100;100;60.5100;26.10;0.130
34;100;100;62.9100;26.94;0.135
35;100;100;65.8100;27.95;0.140
36;100;100;66.7100;28.26;0.138
37;100;100;68.7100;28.97;0.146
38;100;100;71.6100;29.98;0.153
39;100;100;72.9100;30.43;0.153
40;100;100;74.5100;30.99;0.157
41;100;100;77.4100;31.99;0.160
42;100;100;79.1100;32.59;0.163
43;100;100;80.3100;33.03;0.167
44;100;100;83.3100;34.03;0.173
45;100;100;85.3100;34.78;0.175
46;100;100;86.2100;35.03;0.174
47;100;100;89.0100;36.08;0.179
48;100;100;91.5100;36.96;0.183
49;100;100;91.9100;37.09;0.186
50;100;100;94.8100;38.10;0.188
51;100;100;97.7100;39.12;0.197
52;100;100;97.8100;39.16;0.194
53;100;100;100.7100;40.15;0.198
54;100;100;103.6100;41.17;0.206
55;100;100;104.0100;41.33;0.207
56;100;100;106.5100;42.22;0.210
57;100;100;109.5100;43.25;0.219
58;100;100;110.2100;43.48;0.222
59;100;100;112.3100;44.25;0.225
60;100;100;115.2100;45.27;0.230
61;100;100;116.4100;45.65;0.231
62;100;100;118.2100;46.29;0.235
63;100;100;121.1100;47.33;0.238
64;100;100;122.6100;47.84;0.239
65;100;100;124.1100;48.37;0.240
66;100;100;127.0100;49.38;0.247
67;100;100;128.8100;49.98;0.253
68;100;100;129.9100;50.39;0.252
69;100;100;132.7100;51.40;0.257
70;100;100;135.0100;52.14;0.263
71;100;100;135.7100;52.42;0.264
72;100;100;138.7100;53.45;0.270
73;100;100;141.2100;54.34;0.278
74;100;100;141.6100;54.49;0.276
75;100;100;144.5100;55.50;0.285
76;100;100;147.4100;56.48;0.291
77;100;100;147.5100;56.55;0.291
78;100;100;149.5100;57.25;0.297
79;100;100;150.4100;57.58;0.297
80;100;100;153.3100;58.60;0.305
81;100;100;153.8100;58.78;0.310
82;100;100;156.3100;59.62;0.312
83;100;100;159.1100;60.63;0.320
84;100;100;160.0100;60.96;0.320
85;100;100;162.0100;61.67;0.327
86;100;100;164.9100;62.68;0.332
87;100;100;166.2100;63.14;0.335
88;100;100;167.8100;63.70;0.339
89;100;100;170.8100;64.75;0.345
90;100;100;172.4100;65.31;0.346
91;100;100;173.7100;65.76;0.349
92;100;100;176.6100;66.78;0.354
93;100;100;178.6100;67.45;0.360
94;100;100;179.5100;67.80;0.362
95;100;100;182.5100;68.85;0.368
96;100;100;184.8100;69.63;0.376
97;100;100;185.5100;69.87;0.380
98;100;100;188.3100;70.87;0.386
99;100;100;191.0100;71.80;0.391
100;100;100;191.3100;71.90;0.394
101;100;100;192.8100;72.47;0.397
102;100;100;194.1100;72.91;0.399
103;100;100;197.0100;73.91;0.407
104;100;100;197.4100;74.03;0.409
105;100;100;199.9100;74.93;0.413
106;100;100;202.8100;75.96;0.424
107;100;100;203.6100;76.24;0.428
108;100;100;205.6100;76.96;0.435
109;100;100;208.5100;77.96;0.442
110;100;100;209.8100;78.37;0.447
111;100;100;211.4100;78.98;0.450
112;100;100;214.3100;80.02;0.462
113;100;100;216.0100;80.55;0.467
114;100;100;217.3100;81.04;0.469
115;100;100;220.2100;82.04;0.476
116;100;100;222.2100;82.76;0.480
117;100;100;223.1100;83.05;0.484
118;100;100;226.0100;84.08;0.492
119;100;100;227.9100;84.75;0.498
120;100;100;228.5100;84.91;0.499
121;100;100;228.9100;85.12;0.501
122;100;100;231.9100;86.12;0.512
123;100;100;234.7100;87.09;0.524
124;100;100;234.8100;87.14;0.524
125;100;100;237.7100;88.16;0.539
126;100;100;240.6100;89.18;0.547
127;100;100;241.0100;89.32;0.547
128;100;100;243.6100;90.24;0.556
129;100;100;246.6100;91.29;0.567
130;100;100;247.2100;91.49;0.569
131;100;100;249.5100;92.29;0.575
132;100;100;252.4100;93.31;0.589
133;100;100;253.4100;93.66;0.592
134;100;100;255.1100;94.29;0.599
135;100;100;255.3100;94.36;0.601
136;100;100;258.3100;95.40;0.612
137;100;100;259.7100;95.89;0.620
138;100;100;261.3100;96.42;0.624
139;100;100;264.2100;97.43;0.635
140;100;100;265.9100;98.02;0.642
141;100;100;267.0100;98.47;0.644
142;100;100;269.9100;99.49;0.656
143;100;100;272.1100;100.23;0.669
144;100;100;272.9100;100.52;0.671
145;100;100;275.9100;101.58;0.688
146;100;100;278.3100;102.41;0.697
147;100;100;278.8100;102.55;0.699
148;100;100;278.9100;102.60;0.698
149;100;100;281.9100;103.64;0.716
150;100;100;284.6100;104.61;0.724
151;100;100;284.8100;104.71;0.724
152;100;100;287.7100;105.71;0.736
153;100;100;290.7100;106.77;0.749
154;100;100;290.9100;106.80;0.750
155;100;100;293.8100;107.82;0.761
156;100;100;296.7100;108.82;0.773
157;100;100;297.1100;108.98;0.776
158;100;100;299.5100;109.85;0.787
159;100;100;301.0100;110.34;0.799
160;100;100;302.6100;110.90;0.814
161;100;100;303.4100;111.18;0.818
162;100;100;305.5100;111.90;0.828
163;100;100;308.4100;112.94;0.840
164;100;100;309.6100;113.32;0.845
165;100;100;311.4100;113.97;0.850
166;100;100;314.2100;115.02;0.862
167;100;100;315.8100;115.50;0.867
168;100;100;317.3100;116.05;0.878
169;100;100;320.2100;117.08;0.890
170;100;100;321.8100;117.61;0.899
171;100;100;322.1100;117.75;0.900
172;100;100;323.2100;118.11;0.903
173;100;100;326.1100;119.14;0.921
174;100;100;328.3100;119.91;0.931
175;100;100;329.0100;120.17;0.936
176;100;100;331.9100;121.18;0.952
177;100;100;334.5100;122.04;0.972
178;100;100;334.9100;122.24;0.974
179;100;100;337.8100;123.25;0.993
